gh_project_name,team,lang,sloc,tests_per_kloc,build_success
bumptech/glide,4,java,20693,84.9867306963225,0.9833333333333333
burke/zeus,15,ruby,1306,34.2857142857143,0.6241758241758242
burtlo/ark,9,ruby,836,161.936560934891,0.32592592592592595
bwillis/versioncake,4,ruby,522,53.9772727272727,0.8984034833091437
byroot/activerecord-typedstore,3,ruby,389,369.69696969697,0.814935064935065
caelum/mamute,5,java,15573,22.5315729047072,0.7719298245614035
caelum/tubaina,7,java,7049,60.3288062902073,0.6428571428571429
caelum/vraptor,9,java,14498,71.5320411119542,0.8983050847457628
caelum/vraptor4,28,java,12221,69.361101306036,0.8750548005260851
calabash/calabash-ios,1,ruby,9700,1.85567010309278,1
calagator/calagator,14,ruby,40297,145.213696575856,0.8847872090289207
camping/camping,5,ruby,2402,15.2877697841727,0.6617336152219874
CanCanCommunity/cancancan,10,ruby,1172,262.061403508772,0.7193195625759417
cantino/huginn,20,ruby,11539,70.0243562978427,0.8857273978889398
cantino/reckon,5,ruby,735,77.247191011236,1
carrierwaveuploader/carrierwave,2,ruby,2728,263.602941176471,0.38268156424581007
carymrobbins/intellij-haskforce,2,java,20340,15.5057839035196,0.6363636363636364
Casecommons/pg_search,5,ruby,2692,203.413940256045,0.8420180254843054
caskdata/tephra,9,java,22259,6.78407763500764,0.9371428571428572
cassianoleal/vagrant-butcher,2,ruby,369,42.1052631578947,0.8541666666666666
castorflex/SmoothProgressBar,6,java,2097,0,0.660377358490566
cbeust/testng,7,java,32248,47.6523953525386,0.8580121703853956
ccocchi/rabl-rails,2,ruby,692,160.246533127889,0.7507987220447284
celluloid/celluloid,16,ruby,5882,70.6018518518518,0.6040228159711798
celluloid/celluloid-io,12,ruby,923,98.6984815618221,0.3843447669305189
celluloid/celluloid-zmq,8,ruby,492,24.6575342465753,0.5631929046563193
celluloid/dcell,5,ruby,1897,30.0978179082017,0.8855291576673866
celluloid/reel,2,ruby,1315,35.7414448669201,0.6923076923076923
celluloid/timers,7,ruby,276,160.30534351145,0.8
ceph/ceph-cookbook,5,ruby,1116,0,0.9153846153846154
cerebris/jsonapi-resources,10,ruby,3385,125.980999586948,0.9645776566757494
cgriego/active_attr,4,ruby,650,681.818181818182,0.6937416777629827
chanks/que,2,ruby,859,179.123711340206,0
charliesome/better_errors,10,ruby,629,101.123595505618,0.8454258675078864
charlotte-ruby/impressionist,6,ruby,2162,411.764705882353,0.6398158803222095
checkstyle/checkstyle,23,java,40401,62.7957489721511,0.9285195056942088
cheezy/page-object,5,ruby,6805,135.256520988081,0.6970954356846473
chef/chef,50,ruby,56493,151.874678081097,0.810077045371163
chef/omnibus,21,ruby,6321,108.393919365499,0.9666064981949458
chocoteam/choco3,5,java,90238,16.5171288743883,0
ci-reporter/ci_reporter,4,ruby,1192,122.80701754386,0.4719387755102041
clayallsopp/formotion,5,ruby,3693,48.6471713582946,0.23809523809523808
cloudera/oryx,3,java,25995,8.09401509845124,0.9011406844106464
cloudera/spark-dataflow,4,java,3111,14.3329658213892,0.9951690821256038
cloudfoundry/cloud_controller_ng,79,ruby,46608,191.729060247708,0.768144959455401
cloudfoundry/uaa,23,java,27628,62.3138329560348,0.8587806149035956
cloudfoundry/warden,14,ruby,4414,92.4960326456586,0.9589905362776026
CloudifySource/cloudify,26,java,68936,6.13837610685877,0.7438620929827616
code-mancers/invoker,9,ruby,2362,42.5790754257907,0.7747336377473364
code4craft/webmagic,3,java,8326,9.84055804683607,1
codebrew/backbone-rails,8,ruby,166,0,0.9066666666666666
codecation/trailmix,5,ruby,1075,81.1567164179104,0.881578947368421
codefirst/AsakusaSatellite,10,ruby,3436,8.12595226003047,0.9472693032015066
codeforamerica/adopt-a-hydrant,5,ruby,13850,0.0730406836607991,0.9156010230179028
codeforamerica/citygram,13,ruby,1478,71.3245997088792,0.9198949441891004
codeforamerica/follow-all,3,ruby,198,6.41025641025641,0.9354838709677419
codeforamerica/textizen,6,ruby,1393,94.3820224719101,0.1404494382022472
codetriage/codetriage,13,ruby,1396,19.2468619246862,0.8548094373865699
codevise/pageflow,10,ruby,5928,125.506072874494,0.9778481012658228
codez/dry_crud,2,ruby,4884,16.4761264290518,0.4674329501915709
coinbase/toshi,13,ruby,4879,8.20849579314591,0.8951048951048951
colinsurprenant/redstorm,2,ruby,1633,134.736842105263,0.7626262626262627
collectiveidea/audited,9,ruby,789,300.341296928328,0.6450482033304119
collectiveidea/awesome_nested_set,11,ruby,1006,251.81598062954,0.7052509733768284
collectiveidea/interactor,9,ruby,163,558.282208588957,0.9814814814814815
collectiveidea/json_spec,3,ruby,501,231.927710843373,0.8762886597938144
colszowka/simplecov,13,ruby,1104,130.998702983139,0.5943896891584534
comfy/comfortable-mexican-sofa,12,ruby,5743,152.603231597846,0.8047945205479452
Compass/compass-rails,9,ruby,646,272.727272727273,0.8295107033639144
concerto/concerto,21,ruby,6800,0.466635557629491,0.8333817970340215
connectbot/connectbot,7,java,32955,2.59021604756579,0.9397363465160076
coorasse/Airesis,4,ruby,103573,4.68012533216991,0.14201183431952663
crawljax/crawljax,7,java,9316,21.0970464135021,0.5529411764705883
crowdint/rails3-jquery-autocomplete,7,ruby,1344,18.348623853211,0.9072164948453608
cryptosphere/rbnacl,7,ruby,1059,217.948717948718,0.8762886597938144
csc/Hanlon,7,ruby,13943,19.0613199064916,0.9512195121951219
ctran/annotate_models,8,ruby,800,120.401337792642,0.5336032388663967
CyberAgent/android-gpuimage,4,java,7737,0,0.38613861386138615
cypriss/mutations,5,ruby,800,255,0.8385650224215246
cyu/rack-cors,6,ruby,523,112.14953271028,0.7926829268292683
daimajia/AndroidImageSlider,3,java,3936,0,0.8717948717948718
danielweinmann/catarse,8,ruby,5676,34.9756690997567,0.28033866415804326
danmayer/coverband,4,ruby,579,76.9230769230769,0.6122448979591837
danmunn/redmine_dmsf,4,ruby,6156,47.3828258638385,0.2456575682382134
dannnylo/rtesseract,4,ruby,471,61.5942028985507,0.7122641509433962
data-axle/cassandra_object,6,ruby,1791,4.94437577255871,0.2723735408560311
DatabaseCleaner/database_cleaner,5,ruby,2104,126.91466083151,0.80625
datamapper/do,5,ruby,3646,23.861766319254,0.8509316770186336
